timestamp,btc_price,adx_15m,dmp_15m,dmn_15m,atr_15m,volume_15m
2026-03-28T09:15:03.101151+00:00,66346.76,17.54,19.39,22.53,101.17,134.96
2026-03-28T09:30:02.649476+00:00,66354.07,12.96,17.9,23.81,101.21,248.16
2026-03-28T09:45:03.086890+00:00,66262.01,16.75,16.46,24.21,102.53,140.18
2026-03-28T10:00:04.156046+00:00,66288.73,16.7,15.58,24.61,100.38,110.79
2026-03-28T10:15:02.807934+00:00,66323.77,13.58,20.94,20.81,102.16,35.04
2026-03-28T10:30:03.148089+00:00,66142.85,15.03,18.33,27.14,108.11,98.3
2026-03-28T10:45:02.829179+00:00,66192.19,14.7,17.46,26.83,108.04,135.23
2026-03-28T11:00:04.319924+00:00,66221.38,16.48,16.78,26.78,104.77,37.56
2026-03-28T11:15:02.893431+00:00,66248.66,22.18,22.97,23.85,104.31,61.53
2026-03-28T11:30:02.542962+00:00,66325.93,17.07,22.64,22.45,103.06,41.97
2026-03-28T11:45:03.008434+00:00,66323.91,19.06,23.72,21.86,98.18,60.73
2026-03-28T12:00:04.183486+00:00,66329.77,13.45,22.64,20.97,95.06,59.19
2026-03-28T12:15:02.911619+00:00,66406.29,14.35,18.35,22.9,100.95,87.69
2026-03-28T12:30:02.732411+00:00,66439.28,18.47,27.78,20.92,102.15,119.28
2026-03-28T12:45:03.079698+00:00,66368.23,13.89,21.69,26.65,105.85,59.49
2026-03-28T13:00:03.808423+00:00,66455.1,40.18,21.64,32.56,106.4,77.65
2026-03-28T13:15:02.438021+00:00,66477.15,11.33,23.88,22.73,105.26,53.8
2026-03-28T13:30:02.970405+00:00,66469.93,19.4,22.38,25.3,103.4,82.37
2026-03-28T13:45:02.784416+00:00,66945.9,14.02,47.27,14.8,146.4,630.68
2026-03-28T14:00:03.763095+00:00,66845.1,20.7,42.87,13.14,152.4,273.73
2026-03-28T14:15:03.649287+00:00,66780.44,29.31,38.06,15.64,155.75,211.78
2026-03-28T14:30:03.285501+00:00,66822.1,26.0,35.84,15.09,154.2,108.1
2026-03-28T14:45:02.712180+00:00,66887.51,27.28,36.08,11.95,159.18,105.96
2026-03-28T15:00:04.308039+00:00,66760.76,36.18,33.06,12.16,169.06,144.66
2026-03-28T15:15:03.108354+00:00,66862.54,31.92,29.53,11.27,169.48,76.52
2026-03-28T15:30:02.859028+00:00,67028.68,36.42,40.27,9.42,187.96,529.76
2026-03-28T15:45:02.525123+00:00,67047.34,32.89,36.86,8.8,187.13,104.48
2026-03-28T16:00:04.076608+00:00,67030.24,36.8,34.67,11.31,183.68,60.93
2026-03-28T16:15:02.943257+00:00,67026.77,41.16,34.29,9.45,182.66,122.09
2026-03-28T16:30:02.802558+00:00,67074.07,38.31,32.64,9.2,174.44,62.09
2026-03-28T16:45:02.757889+00:00,66901.5,36.37,30.14,14.27,174.47,74.97
2026-03-28T17:00:04.805935+00:00,66924.14,34.91,29.04,15.58,168.3,83.55
2026-03-28T17:15:03.297579+00:00,66920.69,47.86,31.95,14.27,164.52,51.98
2026-03-28T17:30:02.814955+00:00,66778.5,35.25,28.08,18.21,163.32,113.31
2026-03-28T17:45:03.201309+00:00,66812.7,32.87,25.51,19.47,166.57,100.64
2026-03-28T18:00:03.859825+00:00,66862.62,33.98,25.0,18.53,162.33,44.97
2026-03-28T18:15:02.781659+00:00,66939.22,38.22,28.69,17.56,159.31,59.61
2026-03-28T18:30:03.755841+00:00,66881.21,33.7,26.16,17.03,152.81,28.09
2026-03-28T18:45:03.252346+00:00,66935.88,32.14,24.72,19.23,149.84,89.3
2026-03-28T19:00:04.364921+00:00,66891.66,27.88,23.98,17.1,143.88,57.04
2026-03-28T19:15:03.090738+00:00,66844.16,27.71,22.8,19.74,144.22,52.42
2026-03-28T19:30:02.512468+00:00,66860.09,27.63,21.56,19.28,137.02,40.99
2026-03-28T19:45:02.865250+00:00,66837.52,32.88,24.86,18.54,132.18,41.81
2026-03-28T20:00:03.847063+00:00,66916.53,24.74,22.15,17.67,129.33,67.75
2026-03-28T20:15:02.623163+00:00,66999.85,23.84,26.25,16.73,126.56,76.46
2026-03-28T20:30:03.259172+00:00,66925.74,20.51,24.66,17.97,124.93,34.71
2026-03-28T20:45:02.838295+00:00,66921.05,21.97,23.37,16.09,122.85,38.18
2026-03-28T21:00:03.382409+00:00,66906.0,19.6,22.44,16.63,118.47,113.38
2026-03-28T21:15:03.109715+00:00,66835.84,19.67,20.61,20.91,119.89,40.11
2026-03-28T21:30:02.824074+00:00,66850.54,17.71,20.0,21.11,114.71,126.72
2026-03-28T21:45:03.646582+00:00,66853.39,19.58,21.21,18.7,112.43,31.85
2026-03-28T22:00:04.105266+00:00,66700.32,30.08,20.17,27.88,123.06,92.38
2026-03-28T22:15:02.867189+00:00,66609.37,13.93,16.58,29.03,122.85,66.23
2026-03-28T22:30:02.422123+00:00,66783.71,19.01,18.47,23.68,128.22,90.07
2026-03-28T22:45:02.749029+00:00,66704.0,24.71,17.8,21.72,124.92,20.81
2026-03-28T23:00:03.777752+00:00,66737.0,26.04,18.07,21.13,121.79,47.36
2026-03-28T23:15:02.907259+00:00,66400.74,25.85,13.43,35.98,146.92,142.36
2026-03-28T23:30:02.594403+00:00,66399.74,26.27,11.92,33.49,147.77,79.94
2026-03-28T23:45:03.239659+00:00,66369.03,27.62,13.73,31.67,144.74,68.54
2026-03-29T00:00:07.028057+00:00,66373.83,20.9,12.47,34.33,142.36,42.58
2026-03-29T00:15:03.445567+00:00,66432.31,32.11,16.67,31.07,140.78,69.49
2026-03-29T00:30:03.314228+00:00,66393.45,25.59,12.83,34.13,145.19,84.73
2026-03-29T00:45:02.731463+00:00,66400.81,32.69,12.65,30.01,142.51,69.62
2026-03-29T01:00:03.919344+00:00,66482.01,33.03,14.21,28.23,140.44,61.34
2026-03-29T01:15:02.799099+00:00,66545.02,29.2,17.23,26.8,139.36,144.3
2026-03-29T01:30:03.012113+00:00,66559.44,33.15,31.17,24.85,137.24,41.02
2026-03-29T01:45:02.592526+00:00,66477.89,28.65,15.24,30.09,140.58,40.96
2026-03-29T02:00:04.089569+00:00,66575.11,29.73,15.99,28.08,140.43,68.91
2026-03-29T02:15:02.942319+00:00,66636.22,29.26,17.56,26.43,137.7,50.03
2026-03-29T02:30:02.927543+00:00,66654.66,24.42,21.94,24.08,137.17,64.38
2026-03-29T02:45:02.599646+00:00,66707.25,30.71,19.96,22.8,140.23,65.61
2026-03-29T03:00:04.276853+00:00,66802.52,23.55,23.03,20.27,141.14,113.82
2026-03-29T03:15:02.924888+00:00,66797.57,24.0,30.7,19.61,134.83,350.83
2026-03-29T03:30:02.446847+00:00,66976.12,29.5,32.81,16.41,151.1,196.43
2026-03-29T03:45:03.039502+00:00,66922.94,35.05,31.27,16.59,145.94,47.6
2026-03-29T04:00:03.695443+00:00,66912.0,24.18,30.44,17.17,141.45,66.08
